,DRUG/NARCOTIC OFFENSES,LARCENY-THEFT,ROBBERY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,FRAUD OFFENSES,KIDNAPPING/ABDUCTION,COUNTERFEITING/FORGERY,PORNOGRAPHY/OBSCENE MATERIAL,EXTORTION/BLACKMAIL,MOTOR VEHICLE THEFT,SEX OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,WEAPON LAW VIOLATIONS,ARSON,HUMAN TRAFFICKING,LIQUOR LAW VIOLATIONS,BAD CHECKS,PROSTITUTION OFFENSES,"FAMILY OFFENSES, NONVIOLENT",CURFEW/LOITERING/VAGRANCY VIOLATIONS,ANIMAL CRUELTY,HOMICIDE OFFENSES,PEEPING TOM,"SEX OFFENSES, CONSENSUAL",DRUNKENNESS,BRIBERY,GAMBLING OFFENSES,TRESPASS OF REAL PROPERTY,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING
MAGNOLIA,88.0,5564.0,117.0,1435.0,233.0,1399.0,6.0,48.0,5.0,8.0,897.0,45.0,34.0,21.0,56.0,42.0,0.0,18.0,93.0,3.0,156.0,1.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,202.0,1336.0,1964.0
ROOSEVELT/RAVENNA,278.0,14099.0,476.0,2463.0,428.0,2379.0,20.0,145.0,6.0,23.0,2481.0,120.0,111.0,40.0,141.0,41.0,1.0,49.0,211.0,13.0,228.0,3.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,591.0,2460.0,4099.0
NORTH BEACON HILL,411.0,5439.0,587.0,1560.0,278.0,707.0,23.0,72.0,6.0,9.0,1437.0,108.0,121.0,15.0,139.0,35.0,0.0,27.0,56.0,54.0,173.0,9.0,1.0,10.0,4.0,6.0,0.0,0.0,0.0,407.0,2274.0,1558.0
BALLARD SOUTH,329.0,11122.0,427.0,2565.0,724.0,1590.0,14.0,187.0,4.0,12.0,1920.0,100.0,126.0,64.0,139.0,37.0,0.0,59.0,218.0,1.0,144.0,11.0,0.0,8.0,9.0,4.0,0.0,0.0,0.0,911.0,3241.0,3305.0
DOWNTOWN COMMERCIAL,6023.0,35041.0,2661.0,3971.0,741.0,2791.0,43.0,401.0,62.0,27.0,1021.0,447.0,579.0,331.0,981.0,50.0,3.0,262.0,571.0,125.0,485.0,297.0,4.0,21.0,11.0,3.0,0.0,0.0,7.0,3829.0,11564.0,2939.0
PHINNEY RIDGE,66.0,3266.0,66.0,634.0,182.0,710.0,4.0,15.0,0.0,3.0,704.0,19.0,17.0,5.0,18.0,8.0,0.0,23.0,45.0,3.0,55.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,113.0,547.0,1000.0
ROXHILL/WESTWOOD/ARBOR HEIGHTS,172.0,5523.0,321.0,1239.0,114.0,855.0,11.0,69.0,4.0,8.0,998.0,76.0,59.0,41.0,136.0,25.0,0.0,35.0,107.0,2.0,240.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,335.0,1841.0,1496.0
NORTHGATE,1254.0,20105.0,1202.0,3702.0,784.0,3118.0,58.0,386.0,15.0,27.0,3258.0,262.0,384.0,196.0,370.0,69.0,7.0,81.0,408.0,1675.0,571.0,8.0,2.0,19.0,9.0,10.0,0.0,0.0,0.0,1596.0,6084.0,4671.0
CAPITOL HILL,2146.0,18427.0,1414.0,4943.0,1183.0,2863.0,49.0,476.0,20.0,34.0,2482.0,329.0,391.0,70.0,688.0,79.0,0.0,217.0,744.0,8.0,309.0,26.0,3.0,17.0,13.0,4.0,0.0,4.0,0.0,2929.0,8607.0,5399.0
UNIVERSITY,756.0,13018.0,892.0,3827.0,300.0,1587.0,24.0,117.0,6.0,43.0,2173.0,174.0,137.0,42.0,308.0,96.0,0.0,110.0,213.0,212.0,136.0,17.0,2.0,9.0,37.0,4.0,0.0,1.0,1.0,1214.0,4383.0,4913.0
