,DRUG/NARCOTIC OFFENSES,LARCENY-THEFT,ROBBERY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,FRAUD OFFENSES,KIDNAPPING/ABDUCTION,COUNTERFEITING/FORGERY,PORNOGRAPHY/OBSCENE MATERIAL,EXTORTION/BLACKMAIL,MOTOR VEHICLE THEFT,SEX OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,WEAPON LAW VIOLATIONS,ARSON,HUMAN TRAFFICKING,LIQUOR LAW VIOLATIONS,BAD CHECKS,PROSTITUTION OFFENSES,"FAMILY OFFENSES, NONVIOLENT",CURFEW/LOITERING/VAGRANCY VIOLATIONS,ANIMAL CRUELTY,HOMICIDE OFFENSES,PEEPING TOM,"SEX OFFENSES, CONSENSUAL",DRUNKENNESS,BRIBERY,GAMBLING OFFENSES,TRESPASS OF REAL PROPERTY,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING
2020,1005.0,23354.0,1493.0,6668.0,994.0,11702.0,128.0,382.0,39.0,107.0,4938.0,529.0,620.0,76.0,604.0,167.0,14.0,29.0,43.0,28.0,45.0,22.0,26.0,55.0,15.0,5.0,3.0,1.0,1.0,2620.0,10312.0,10433.0
2019,1645.0,26021.0,1554.0,5823.0,1406.0,3540.0,125.0,429.0,60.0,93.0,3995.0,695.0,622.0,104.0,654.0,111.0,15.0,69.0,229.0,229.0,337.0,46.0,18.0,38.0,17.0,7.0,3.0,0.0,0.0,3918.0,11187.0,7715.0
2018,2211.0,26968.0,1701.0,6663.0,1392.0,3742.0,80.0,469.0,40.0,104.0,4094.0,617.0,709.0,120.0,847.0,112.0,0.0,82.0,418.0,122.0,910.0,64.0,0.0,33.0,16.0,15.0,0.0,1.0,2.0,4408.0,11316.0,8106.0
2017,2359.0,27002.0,1539.0,6643.0,1378.0,3871.0,77.0,315.0,24.0,80.0,3709.0,521.0,495.0,143.0,798.0,150.0,1.0,89.0,484.0,385.0,924.0,60.0,0.0,30.0,22.0,18.0,0.0,2.0,3.0,3910.0,10310.0,7802.0
2016,1879.0,27206.0,1555.0,6318.0,1167.0,3669.0,58.0,347.0,11.0,68.0,4187.0,461.0,391.0,156.0,671.0,102.0,0.0,110.0,486.0,457.0,905.0,62.0,0.0,21.0,9.0,10.0,0.0,3.0,0.0,2826.0,9779.0,7524.0
2015,1629.0,26616.0,1546.0,5977.0,1026.0,3896.0,40.0,424.0,14.0,37.0,3872.0,358.0,340.0,183.0,716.0,92.0,0.0,111.0,460.0,343.0,981.0,47.0,0.0,29.0,14.0,9.0,0.0,1.0,2.0,2187.0,9394.0,7564.0
2014,1244.0,28343.0,1580.0,5766.0,1013.0,4922.0,55.0,365.0,11.0,21.0,5494.0,319.0,248.0,167.0,496.0,72.0,0.0,125.0,518.0,313.0,917.0,42.0,0.0,28.0,9.0,12.0,0.0,0.0,1.0,1371.0,9016.0,7133.0
2013,1716.0,25501.0,1602.0,5718.0,1109.0,3119.0,46.0,368.0,22.0,18.0,4253.0,291.0,250.0,138.0,538.0,87.0,0.0,148.0,466.0,221.0,842.0,58.0,0.0,26.0,16.0,15.0,0.0,0.0,0.0,1233.0,8537.0,7308.0
2012,2037.0,22270.0,1447.0,5664.0,1274.0,2787.0,57.0,333.0,13.0,25.0,3681.0,330.0,213.0,133.0,520.0,75.0,0.0,184.0,523.0,250.0,757.0,55.0,0.0,23.0,13.0,13.0,0.0,0.0,2.0,955.0,8739.0,6525.0
2011,2091.0,22141.0,1420.0,5723.0,1506.0,2431.0,48.0,318.0,11.0,7.0,3446.0,304.0,248.0,127.0,612.0,82.0,0.0,193.0,552.0,433.0,913.0,76.0,0.0,26.0,14.0,17.0,0.0,2.0,1.0,939.0,8845.0,6772.0
2010,2879.0,23632.0,1428.0,5996.0,1302.0,3351.0,45.0,259.0,11.0,19.0,3589.0,293.0,235.0,138.0,581.0,113.0,0.0,353.0,776.0,572.0,944.0,125.0,0.0,17.0,9.0,14.0,0.0,1.0,1.0,1164.0,9037.0,6448.0
2009,2705.0,25355.0,1795.0,6375.0,1239.0,2889.0,54.0,341.0,15.0,20.0,3396.0,323.0,225.0,177.0,606.0,148.0,0.0,418.0,1003.0,328.0,909.0,121.0,0.0,21.0,8.0,17.0,0.0,2.0,7.0,1174.0,9102.0,6641.0
2008,3361.0,23042.0,1667.0,7050.0,1066.0,3162.0,55.0,351.0,20.0,27.0,3851.0,318.0,259.0,220.0,755.0,85.0,0.0,394.0,655.0,302.0,794.0,103.0,0.0,30.0,13.0,17.0,0.0,2.0,5.0,1280.0,9009.0,6551.0
2021,126.0,2473.0,156.0,627.0,87.0,305.0,14.0,30.0,4.0,7.0,522.0,69.0,80.0,9.0,53.0,25.0,1.0,0.0,6.0,0.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,186.0,953.0,1052.0
