,MAGNOLIA,ROOSEVELT/RAVENNA,NORTH BEACON HILL,BALLARD SOUTH,DOWNTOWN COMMERCIAL,PHINNEY RIDGE,ROXHILL/WESTWOOD/ARBOR HEIGHTS,NORTHGATE,CAPITOL HILL,UNIVERSITY,COLUMBIA CITY,GEORGETOWN,FIRST HILL,QUEEN ANNE,SODO,CENTRAL AREA/SQUIRE PARK,MID BEACON HILL,ALASKA JUNCTION,FREMONT,NORTH ADMIRAL,SLU/CASCADE,CHINATOWN/INTERNATIONAL DISTRICT,SANDPOINT,HILLMAN CITY,HIGH POINT,MOUNT BAKER,HIGHLAND PARK,BITTERLAKE,PIONEER SQUARE,BELLTOWN,SOUTH BEACON HILL,RAINIER VIEW,JUDKINS PARK/NORTH BEACON HILL,EASTLAKE - WEST,MADRONA/LESCHI,GREENWOOD,MADISON PARK,NORTH DELRIDGE,CLAREMONT/RAINIER VISTA,MONTLAKE/PORTAGE BAY,LAKEWOOD/SEWARD PARK,SOUTH DELRIDGE,WALLINGFORD,NEW HOLLY,BALLARD NORTH,PIGEON POINT,MORGAN,BRIGHTON/DUNLAP,MILLER PARK,RAINIER BEACH,SOUTH PARK,ALKI,FAUNTLEROY SW,GENESEE,COMMERCIAL HARBOR ISLAND,EASTLAKE - EAST,COMMERCIAL DUWAMISH,LAKECITY,Crime Type
0,88.0,278.0,411.0,329.0,6023.0,66.0,172.0,1254.0,2146.0,756.0,125.0,361.0,825.0,463.0,514.0,727.0,179.0,121.0,274.0,89.0,1444.0,1786.0,85.0,88.0,80.0,285.0,156.0,351.0,1027.0,1641.0,90.0,139.0,286.0,33.0,276.0,517.0,27.0,91.0,133.0,50.0,53.0,111.0,156.0,76.0,209.0,12.0,74.0,505.0,54.0,299.0,244.0,26.0,49.0,59.0,6.0,26.0,17.0,492.0,DRUG/NARCOTIC OFFENSES
1,5564.0,14099.0,5439.0,11122.0,35041.0,3266.0,5523.0,20105.0,18427.0,13018.0,1694.0,3521.0,8385.0,19162.0,6074.0,6580.0,2305.0,4649.0,6490.0,3234.0,15530.0,10913.0,6838.0,1151.0,1867.0,4460.0,3001.0,5672.0,4993.0,10484.0,861.0,2414.0,2445.0,2217.0,3987.0,6994.0,1248.0,1898.0,1038.0,2696.0,2256.0,1050.0,6621.0,1501.0,7220.0,376.0,2885.0,2524.0,2135.0,2782.0,1812.0,1519.0,1669.0,965.0,83.0,542.0,174.0,7660.0,LARCENY-THEFT
2,117.0,476.0,587.0,427.0,2661.0,66.0,321.0,1202.0,1414.0,892.0,199.0,206.0,536.0,470.0,328.0,691.0,335.0,242.0,172.0,141.0,928.0,883.0,173.0,204.0,148.0,351.0,165.0,316.0,466.0,583.0,128.0,148.0,200.0,34.0,208.0,387.0,20.0,91.0,178.0,31.0,55.0,133.0,174.0,331.0,286.0,18.0,83.0,617.0,96.0,547.0,145.0,43.0,33.0,93.0,2.0,10.0,4.0,490.0,ROBBERY
3,1435.0,2463.0,1560.0,2565.0,3971.0,634.0,1239.0,3702.0,4943.0,3827.0,576.0,1322.0,2599.0,3813.0,1506.0,2656.0,1037.0,1154.0,1552.0,918.0,3257.0,1708.0,1668.0,518.0,886.0,1058.0,1258.0,1653.0,1268.0,1976.0,479.0,982.0,735.0,500.0,1207.0,1962.0,299.0,806.0,666.0,545.0,414.0,435.0,1482.0,584.0,1934.0,102.0,794.0,1507.0,583.0,980.0,1012.0,548.0,359.0,261.0,32.0,134.0,68.0,2399.0,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
4,233.0,428.0,278.0,724.0,741.0,182.0,114.0,784.0,1183.0,300.0,63.0,397.0,441.0,966.0,448.0,445.0,174.0,265.0,431.0,186.0,817.0,329.0,221.0,65.0,96.0,190.0,202.0,296.0,406.0,447.0,82.0,169.0,156.0,54.0,154.0,435.0,80.0,129.0,89.0,146.0,72.0,46.0,243.0,64.0,395.0,14.0,151.0,293.0,95.0,165.0,129.0,118.0,66.0,48.0,38.0,20.0,80.0,395.0,DRIVING UNDER THE INFLUENCE
5,1399.0,2379.0,707.0,1590.0,2791.0,710.0,855.0,3118.0,2863.0,1587.0,320.0,374.0,1602.0,2831.0,577.0,1384.0,565.0,1004.0,895.0,832.0,1955.0,547.0,2572.0,246.0,464.0,656.0,567.0,1223.0,591.0,1049.0,277.0,553.0,319.0,371.0,811.0,1258.0,333.0,415.0,205.0,556.0,414.0,112.0,1200.0,248.0,1711.0,72.0,843.0,582.0,527.0,320.0,244.0,451.0,362.0,123.0,7.0,62.0,14.0,1705.0,FRAUD OFFENSES
6,6.0,20.0,23.0,14.0,43.0,4.0,11.0,58.0,49.0,24.0,15.0,14.0,36.0,36.0,14.0,24.0,23.0,5.0,17.0,7.0,46.0,22.0,8.0,5.0,9.0,19.0,14.0,24.0,12.0,22.0,12.0,9.0,10.0,1.0,5.0,28.0,0.0,6.0,11.0,1.0,3.0,5.0,6.0,10.0,10.0,0.0,6.0,22.0,4.0,20.0,17.0,2.0,1.0,8.0,0.0,2.0,0.0,34.0,KIDNAPPING/ABDUCTION
7,48.0,145.0,72.0,187.0,401.0,15.0,69.0,386.0,476.0,117.0,25.0,112.0,115.0,232.0,69.0,101.0,38.0,69.0,49.0,39.0,189.0,91.0,82.0,28.0,38.0,55.0,28.0,178.0,74.0,57.0,20.0,22.0,13.0,12.0,50.0,120.0,12.0,32.0,20.0,14.0,14.0,19.0,130.0,27.0,114.0,9.0,24.0,59.0,18.0,57.0,34.0,17.0,12.0,15.0,0.0,4.0,2.0,212.0,COUNTERFEITING/FORGERY
8,5.0,6.0,6.0,4.0,62.0,0.0,4.0,15.0,20.0,6.0,3.0,0.0,7.0,5.0,3.0,13.0,0.0,6.0,1.0,4.0,6.0,2.0,7.0,3.0,3.0,2.0,2.0,7.0,1.0,0.0,3.0,0.0,7.0,3.0,5.0,8.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,PORNOGRAPHY/OBSCENE MATERIAL
9,8.0,23.0,9.0,12.0,27.0,3.0,8.0,27.0,34.0,43.0,0.0,4.0,28.0,29.0,6.0,28.0,11.0,8.0,9.0,7.0,43.0,10.0,23.0,1.0,10.0,7.0,11.0,11.0,8.0,17.0,6.0,8.0,6.0,6.0,5.0,13.0,5.0,4.0,3.0,8.0,1.0,1.0,11.0,6.0,9.0,0.0,3.0,14.0,7.0,2.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,25.0,EXTORTION/BLACKMAIL
